ID1,ID2,Distance
BMK383389US2007,BMK383444US2007,0.0128258
01_AEMN792464TH-,01_AEMN792452TH-,0.00317404
BMK383677US2007,BMK385084US2014,0.0139003
BMK383389US2007,BMK384190US2005,0.00644252
BMK383677US2007,BMK383630US2005,0.0117397
BMK383389US2007,BMK383684US2011,0.0131758
BMK383389US2007,BMK384211US2011,0.0149863
BMK383389US2007,BMK384914US2011,0.00256879
BMK383389US2007,BMK383592US2011,0.00921934
BMK383677US2007,BMK383628US2005,0.0117397
BMK383389US2007,BMK385428US2007,0.00744028
BMK383677US2007,BMK384440US2011,0.0147086
BMK383677US2007,BMK384168US2005,0.0124469
BMK383389US2007,BMK383516US2015,0.0128257
BMK383677US2007,BMK384244US2007,0.0094687
BMK383677US2007,BMK385211US2009,0.0142537
BMK383389US2007,BMK384038US2014,0.0113753
BKY778387US2013,BMH843872US2013,0.000351718
BMK383389US2007,BMK385238US2009,0.013538
BMK383389US2007,BMK384254US2014,0.0110318
01_AEMN792464TH-,01_AEMN792431TH-,0.000703783
BMK383389US2007,BMK383402US2011,0.00637355
BMK383389US2007,BMK383772US2014,0.00494627
BMK383389US2007,BMK383610US2005,0.000351718
01_AEFJ185246VN1997,01_AEAY713425TH1990,0.00958238
BMK383389US2007,BMK383388US2011,0.00958015
BMK383389US2007,BMK383617US2009,0.0117362
BMK383389US2007,BMK383834US2011,0.00246697
BMK383389US2007,BMK384457US2018,0.00850407
01_AEFJ185246VN1997,01_AEFJ185255VN1997,0.0142395
BMK383677US2007,BMK385106US2018,0.013889
BMK383389US2007,BMK384055US2011,0.000351718
BMK383389US2007,BMK385333US2009,0.00672417
BMK383677US2007,BMK385283US2015,0.0120966
01_AEMN792464TH-,01_AEMN792433TH-,0.000703783
01_AEFJ185246VN1997,01_AEAB485652ID1993,0.0146122
BMK383389US2007,BMK383463US2011,0.000703652
BMK383389US2007,BMK383672US2015,0.0128257
BMK383389US2007,BMK383405US2011,0.00530006
BMK383677US2007,BMK385331US2015,0.0120966
BMK383677US2007,BMK385449US2011,0.0111989
BMK383389US2007,BMK385264US2007,0.00105602
BMH843764US2013,BMH843776US2013,0
BKY778387US2013,BMH843902US2013,0
BMK383677US2007,BMK384955US2018,0.00922202
BMK383677US2007,BMK383457US2014,0.0146371
BMK383389US2007,BMK384265US2014,0.00815057
BMK383389US2007,BMK383622US2005,0.00850522
BMK383389US2007,BMK384880US2015,0.0113753
BMK383389US2007,BMK383835US2014,0.0113753
BMK383389US2007,BMK383527US2015,0.000351718
BMK383389US2007,BMK384033US2009,0.013538
BMK383389US2007,BMK384359US2009,0.0142863
BMK383389US2007,BMK383425US2005,0.0077901
BMK383677US2007,BMK383725US2014,0.01173
BMK383677US2007,BMK383445US2014,0.0142604
BMK383677US2007,BMK384895US2015,0.0146204
BKY778387US2013,BMH843890US2013,0.000351833
BMK383677US2007,BMK384456US2015,0.0120966
BKY778387US2013,BMH843915US2013,0
BMK383389US2007,BMK385548US2015,0.00779472
BMK383389US2007,BMK384845US2011,0.0131727
01_AEMN792464TH-,01_AEMN792450TH-,0.00246778
BKY778387US2013,BMH843898US2013,0
BMK383389US2007,BMK385534US2015,0.000351718
BMK383677US2007,BMK383607US2005,0.00958751
BMK383677US2007,BMK383625US2005,0.0124531
BMK383677US2007,BMK383602US2018,0.0142604
BMK383389US2007,BMK385521US2011,0.00903513
BMK383677US2007,BMK383784US2011,0.0138967
BMK383677US2007,BMK383632US2005,0.0128175
BMK383677US2007,BMK385530US2011,0.0106606
BMK383389US2007,BMK383623US2005,0.0117286
BMK383677US2007,BMK383810US2009,0.0113696
01_AEFJ185246VN1997,01_AEFJ185239VN1997,0.0149664
BMK383677US2007,BMK383472US2014,0.0138943
BMK383389US2007,BMK384969US2018,0.0102958
BMK383389US2007,BMK383441US2005,0.0110177
BMK383389US2007,BMK384483US2007,0.00779472
BMK383677US2007,BMK383701US2011,0.0120978
BMK383677US2007,BMK383673US2011,0.0110099
BMK383389US2007,BMK383476US2015,0.0135438
BMK383677US2007,BMK383389US2007,0.0142572
BMK383389US2007,BMK383655US2009,0.0149806
BMK383389US2007,BMK383626US2005,0.00352635
BMK383389US2007,BMK385506US2007,0.0140333
BMK383677US2007,BMK383444US2007,0.0131743
BMH843764US2013,BMH843779US2013,0
BMK383677US2007,BMK383684US2011,0.00922212
01_AEFJ185246VN1997,01_AEFJ185253VN1997,0.0106511
BKY778387US2013,BMH843881US2013,0
BMK383677US2007,BMK384211US2011,0.01173
BMK383677US2007,BMK383858US2007,0.0099357
BMK383677US2007,BMK383766US2011,0.00850932
BKY778387US2013,BMH843885US2013,0
BMK383677US2007,BMK383592US2011,0.0149786
BMK383677US2007,BMK383555US2009,0.00851043
BKY778387US2013,BMH843886US2013,0
BMK383677US2007,BMK383516US2015,0.0142604
BMH843764US2013,BMH843785US2013,0
BMK383389US2007,BMK383640US2015,0.0117364
BMK383677US2007,BMK385238US2009,0.00886775
BMK383389US2007,BMK385463US2015,0.0128197
BMK383389US2007,BMK384306US2014,0.00494627
BMK383389US2007,BMK384704US2015,0.0149838
BMK383677US2007,BMK383402US2011,0.0135376
BMK169627US2018,BMK169667US2018,0.0149635
BMK383677US2007,BMK383610US2005,0.0139003
BMK383389US2007,BMK384081US2005,0.0120934
BMK383389US2007,BMK383434US2014,0.0128257
BMK383677US2007,BMK384607US2011,0.00897965
BMK169627US2018,BMK169670US2018,0.0149635
BMK383677US2007,BMK383388US2011,0.0146182
BMK383389US2007,BMK383586US2018,0.0128257
BMK383389US2007,BMK384736US2015,0.0110318
BMK383389US2007,BMK384992US2007,0.0131822
BMK383389US2007,BMK383955US2005,0.0146215
BMK169627US2018,BMK169654US2018,0.0127976
BMK383389US2007,BMK384861US2011,0.0131656
BMK383677US2007,BMK383834US2011,0.0146213
BMK383677US2007,BMK384457US2018,0.0149927
BMK169627US2018,BMK169648US2018,0.0127976
BMK383677US2007,BMK383749US2007,0.0149842
BMK383677US2007,BMK383608US2005,0.00850929
BMK383677US2007,BMK384055US2011,0.0139003
BMK383677US2007,BMK385333US2009,0.0121019
BMK383677US2007,BMK384823US2007,0.00851046
BMK383677US2007,BMK384375US2015,0.0129628
BMK383677US2007,BMK383463US2011,0.0142634
01_AEMN792464TH-,01_AEMN792426TH-,0.000703783
BMH843813US2014,BKY778272US2014,0.00730574
BKY778387US2013,BMH843914US2013,0
BMK384184US2010,BMK383479US2010,0.0135283
BMK169627US2018,BMK169639US2018,0.0127976
BMK169627US2018,BMK169600US2018,0
BMN090436US2018,BMN090409US2018,0.00885465
BMK384184US2010,BMK383489US2014,0.0149824
BMK383677US2007,BMK383672US2015,0.0142604
BMN090436US2018,BMN090386US2018,0.0117221
BMN090436US2018,BMN090388US2018,0.0113699
BMK383677US2007,BMK383405US2011,0.012814
BMK383677US2007,BMK383609US2005,0.00922202
01_AEJX112822CN2007,01_AEJQ302753CN2009,0.0128147
BMK383677US2007,BMK385264US2007,0.0139002
BMK384184US2010,BMK384277US2014,0.0120814
BMN090436US2018,BMN090414US2018,0.00778746
BMK169627US2018,BMK169638US2018,0.0127976
BMK383677US2007,BMK384825US2014,0.0129674
BMK383677US2007,BMK384265US2014,0.0146371
BMN090436US2018,BMN090416US2018,0.0102918
BMK383677US2007,BMK385119US2018,0.00993894
BMK383677US2007,BMK383622US2005,0.0131714
BMK383677US2007,BMK383527US2015,0.0139003
BMK169627US2018,BMK169603US2018,0.0106475
BMK383677US2007,BMK384033US2009,0.00886775
BMK383677US2007,BMK384973US2018,0.00922202
BMK383677US2007,BMK383425US2005,0.0120978
BMN090436US2018,BMN090415US2018,0.00993203
BMK383677US2007,BMK383683US2011,0.0095806
BMK383677US2007,BMK385548US2015,0.014279
BMK383677US2007,BMK384699US2011,0.0099041
BMK169627US2018,BMK169634US2018,0.0131583
01_AEJX112822CN2007,01_AEJX112817CN2007,0.0114347
BMK383677US2007,BMK384845US2011,0.00957732
BMK384184US2010,BMK384287US2010,0.0120928
BMK383677US2007,BMK383615US2005,0.00922202
BMK384184US2010,BMK384091US2010,0.0117231
BMK383677US2007,BMK385534US2015,0.0139003
BMK169627US2018,BMK169668US2018,0.0149635
BMK383677US2007,BMK385521US2011,0.010777
BMK384184US2010,BMK384212US2010,0.0124511
BMK169627US2018,BMK169661US2018,0.0127976
01_AEJX112822CN2007,01_AEJQ302550CN2009,0.0131985
BMK383677US2007,BMK383623US2005,0.0146109
BMK169627US2018,BMK169644US2018,0.0127976
BMK383677US2007,BMK384969US2018,0.0138942
BMK383677US2007,BMK383441US2005,0.00993927
BMK383677US2007,BMK384483US2007,0.014279
BMK384184US2010,BMK383428US2010,0.0113709
BMK383677US2007,BMK383476US2015,0.0149923
BMK383677US2007,BMK383655US2009,0.00993756
BMK383677US2007,BMK383626US2005,0.0142491
BMN090436US2018,BMK115138US2016,0.00744173
CMK458037BW-,CMK458031BW-,0
BMK384184US2010,BMK385345US2010,0.011371
CMK458037BW-,CMK457974BW-,0.000426945
BMK384184US2010,BMK383442US2010,0.0149698
BMK384184US2010,BMK383535US2010,0.0102915
BMK383677US2007,BMK385213US2015,0.0128131
BMK384184US2010,BMK383449US2010,0.0142452
CMK458037BW-,CMK458008BW-,0
CMK458037BW-,CMK458016BW-,0.00196117
CMK458037BW-,CMK457995BW-,0
BMK383677US2007,BMK385463US2015,0.0131786
BMK384184US2010,BMK383384US2010,0.0149823
BMK383677US2007,BMK384704US2015,0.00815199
BMK383677US2007,BMK384081US2005,0.0106579
BMK384184US2010,BMK383461US2010,0.0102933
BMK383677US2007,BMK383434US2014,0.0142604
01_AEMK272442TH2010,01_AEMK272365TH2010,0.000351831
BMN090436US2018,BMN090397US2018,0.0113699
BMK383677US2007,BMK383586US2018,0.0142604
CMK458037BW-,CMK457969BW-,0
BMK384184US2010,BMK384268US2014,0.0106508
BMK383677US2007,BMK383577US2009,0.00922202
BMK383677US2007,BMK384963US2015,0.0117405
BMK383677US2007,BMK384992US2007,0.0135401
